creator_id,mod_count,total_subscriptions,avg_subscriptions,median_subscriptions,avg_positive_rate,avg_maintenance_days,tag_breadth
76561198159261013,2,94299,47149.50,47149.50,0.957400,1038.00,1
76561198100429832,8,93890,11736.25,15.00,0.961333,188.25,2
76561198353486228,11,92863,8442.09,2946.00,0.833055,306.09,10
76561198074693363,10,92521,9252.10,5416.00,0.954960,223.50,6
76561198026945238,2,92337,46168.50,46168.50,0.964650,0.00,3
76561199022145142,1,91947,91947.00,91947.00,0.985400,730.00,2
76561198046696114,8,91763,11470.38,6444.50,0.948500,346.38,3
76561197999436801,1,91595,91595.00,91595.00,0.980400,879.00,4
76561198287867864,5,91158,18231.60,1763.00,0.929200,78.40,8
76561198182304193,13,90521,6963.15,1372.00,0.897538,337.46,4
76561198137621641,4,89592,22398.00,14155.50,0.925325,476.25,3
76561198118518586,28,89354,3191.21,628.50,0.916496,387.68,6
76561198358341561,1,88994,88994.00,88994.00,0.966600,1772.00,2
76561198077525902,2,88810,44405.00,44405.00,0.972600,1746.00,6
76561198123713217,1,88729,88729.00,88729.00,0.975000,0.00,2
76561198130183994,6,88597,14766.17,10533.00,0.949400,1865.50,3
76561199095734367,32,88559,2767.47,434.00,0.881884,107.91,7
76561198022473904,2,88355,44177.50,44177.50,0.954400,604.00,4
76561198263964275,1,88315,88315.00,88315.00,0.930000,0.00,17
76561198254908897,2,88119,44059.50,44059.50,0.969300,298.00,3
76561198830730990,29,88010,3034.83,119.00,0.906204,86.21,11
76561199088609712,17,87833,5166.65,1535.00,0.951806,75.29,7
76561198012456292,1,87553,87553.00,87553.00,0.970700,3164.00,4
76561198080537804,5,87181,17436.20,19986.00,0.953940,558.00,5
76561198449018419,7,86980,12425.71,5195.00,0.957400,208.00,5
76561199145824904,4,86902,21725.50,18528.50,0.982925,369.25,5
76561198444111342,22,86899,3949.95,1296.00,0.963405,505.91,9
76561198359866661,2,86759,43379.50,43379.50,0.963450,409.00,5
76561198147373751,4,86733,21683.25,9728.50,0.962850,1299.75,7
76561198053644317,1,85449,85449.00,85449.00,0.977600,18.00,3
76561198298256331,2,85090,42545.00,42545.00,0.968500,3.50,8
76561198046824722,5,84552,16910.40,2212.00,0.886400,1055.20,6
76561198986086799,39,83999,2153.82,1996.00,0.938349,5.08,5
